binCount,T,neighSize,trial1, trial2, trial3
6,50,3,0.5455,0.5455,0.4318
6,50,5,0.3864,0.2955,0.3636
6,50,9,0.4318,0.5455,0.5227
6,50,15,0.5000,0.5455,0.5909
6,50,21,0.5000,0.5909,0.5455
6,100,3,0.4773,0.4091,0.4318
6,100,5,0.4773,0.5227,0.4773
6,100,9,0.4318,0.4773,0.5000
6,100,15,0.6136,0.5909,0.5455
6,100,21,0.5227,0.4545,0.5000
6,250,3,0.5000,0.5455,0.5455
6,250,5,0.5909,0.3864,0.4773
6,250,9,0.5000,0.4318,0.4773
6,250,15,0.4545,0.5682,0.4773
6,250,21,0.5227,0.4773,0.5227
6,500,3,0.5000,0.5000,0.4545
6,500,5,0.4773,0.5227,0.3182
6,500,9,0.4545,0.4545,0.5455
6,500,15,0.2955,0.3409,0.3182
6,500,21,0.4545,0.5000,0.3864
12,50,3,0.5455,0.4773,0.5682
12,50,5,0.5909,0.5227,0.6364
12,50,9,0.4545,0.4773,0.4773
12,50,15,0.4773,0.5682,0.5682
12,50,21,0.5227,0.5000,0.5000
12,100,3,0.4545,0.6136,0.5227
12,100,5,0.5455,0.5682,0.5909
12,100,9,0.6591,0.6591,0.6136
12,100,15,0.6136,0.5000,0.5455
12,100,21,0.5682,0.4545,0.5455
12,250,3,0.6364,0.5455,0.5455
12,250,5,0.5909,0.5909,0.5909
12,250,9,0.5455,0.6136,0.6591
12,250,15,0.7045,0.5909,0.6818
12,250,21,0.5455,0.5455,0.5227
12,500,3,0.4091,0.5455,0.4091
12,500,5,0.5682,0.5000,0.3864
12,500,9,0.5000,0.5455,0.5227
12,500,15,0.5682,0.5455,0.4318
12,500,21,0.5682,0.5682,0.5455
24,50,3,0.4773,0.5909,0.5227
24,50,5,0.4545,0.5000,0.5682
24,50,9,0.5682,0.4773,0.5682
24,50,15,0.6136,0.5909,0.6136
24,50,21,0.5455,0.5909,0.5682
24,100,3,0.5227,0.5682,0.5455
24,100,5,0.6591,0.6136,0.6136
24,100,9,0.5682,0.5455,0.5227
24,100,15,0.4773,0.5682,0.4773
24,100,21,0.5682,0.5000,0.4091
24,250,3,0.5909,0.4773,0.5227
24,250,5,0.6136,0.6136,0.4545
24,250,9,0.6136,0.5909,0.5909
24,250,15,0.5909,0.5455,0.6136
24,250,21,0.5227,0.5682,0.5909
24,500,3,0.5227,0.4091,0.5000
24,500,5,0.5682,0.5909,0.5227
24,500,9,0.5227,0.3864,0.5455
24,500,15,0.6364,0.5682,0.5455
24,500,21,0.5227,0.5000,0.5909
36,50,3,0.5227,0.5682,0.4773
36,50,5,0.5682,0.5682,0.4773
36,50,9,0.5909,0.5455,0.5682
36,50,15,0.6136,0.6818,0.5455
36,50,21,0.5682,0.5455,0.5455
36,100,3,0.4773,0.6136,0.5455
36,100,5,0.5909,0.5455,0.5909
36,100,9,0.7273,0.6136,0.5909
36,100,15,0.5682,0.4318,0.6136
36,100,21,0.5000,0.5000,0.5455
36,250,3,0.4318,0.5000,0.4773
36,250,5,0.5227,0.4773,0.4545
36,250,9,0.5455,0.4773,0.4318
36,250,15,0.6818,0.5909,0.5000
36,250,21,0.5000,0.5682,0.4773
36,500,3,0.4773,0.5000,0.5455
36,500,5,0.5227,0.5227,0.5682
36,500,9,0.5227,0.3864,0.4545
36,500,15,0.6364,0.5682,0.6364
36,500,21,0.5909,0.4773,0.5682
